Product Category,Column Name Raw,Column Name,Column Top Values,Column Unit,Column Min,Column Max,Column Definition,Approved
Notebooks,DVD+R Double Layer read speed.3212,DVD+R Double Layer read speed,,,,,The read speed of the DVD+R Double Layer drive in the notebook. The speed is measured in x. The minimum speed is 1.0 x and the maximum speed is 8.0 x.,TRUE
Notebooks,DVD+RW read speed.3213,DVD+RW read speed,,,,,"The read speed of the DVD drive in the notebook. The DVD+RW read speed is the speed at which the drive can read data from a DVD+RW disc. The format of the read speed is a number, and the minimum is 1.0 x, while the maximum is 24.0 x.",TRUE
Notebooks,DVD-RW read speed.3214,DVD-RW read speed,,,,,The read speed of the DVD-RW drive in the notebook. The speed is measured in x. The minimum speed is 1.0 x and the maximum speed is 24.0 x.,TRUE
Notebooks,CD-R read speed.3215,CD-R read speed,,,,,"The CD-R read speed of the notebook, measured in x. Is it strange that notebooks have CD-R drives?",TRUE
Notebooks,CD-RW read speed.3216,CD-RW read speed,,,,,"The CD-RW read speed of the notebook, measured in x speed (multiplied by a 1000 factor). Range: 1.0 x - 24.0 x.",TRUE
Notebooks,DVD-RAM read speed.3218,DVD-RAM read speed,,,,,"The read speed for DVD-RAM, with a minimum of 1.0 x and a maximum of 9.0 x.",TRUE
Notebooks,DVD-RAM write speed.3219,DVD-RAM write speed,,,,,"The speed at which the notebook's DVD-RAM drive can write data to a disc, in multiples of 1x. 1x is equivalent to constant bitrate, real-time recording where the data is recorded at a rate of 150KB/s (or 153.6MB/hr).",TRUE
Notebooks,ExpressCard slot.3548,ExpressCard slot,False',,,,Indicates the presence of an ExpressCard slot for expansion. This slot is for expansion cards that are a compact version of the PC Card standard for use in notebook computers.,TRUE
Notebooks,Intel segment tagging.25339,Intel segment tagging,"Home Office', 'Small Business'",,,,"This column contains the Intel segment tagging for the notebook, according to the example values this should be one of: Home Office, Enterprise, Small Business, Professional, Education.",TRUE
Notebooks,Country of origin.3294,Country of origin,China',,,,The country where the notebook is produced. This is typically where the company has their primary manufacturing plant.,TRUE
Notebooks,Screen shape.17554,Screen shape,Flat screen',,,,"The shape of the screen of the laptop. This can be standard, curved, or flat.",TRUE
Notebooks,Electronic compass.1733,Electronic compass,,,,,Indicates whether the notebook has an electronic compass or not. Electronic compasses are useful to determine the direction of the notebook and is a standard feature in most smartphones,TRUE
Notebooks,Touch technology.7698,Touch technology,,,,,"The type of touch technology utilized by the laptop. Options include: Multi-touch, Single-touch, Dual-touch",TRUE
Notebooks,Touchscreen type.8097,Touchscreen type,Capacitive',,,,"The touchscreen type of the notebook, which can be either 'Capacitive' or 'Resistive'. This information helps identify the technology used for the touchscreen display.",TRUE
Notebooks,Ambient light sensor.8720,Ambient light sensor,False',,,,"A boolean value that describes if the notebook has an ambient light sensor or not. False if it does not, and true if it does.",TRUE
Notebooks,Micro HDMI ports quantity.9374,Micro HDMI ports quantity,,,,,The Micro HDMI ports quantity column contains the number of Micro HDMI ports that a notebook has. The minimum value is 1.0 and the maximum value is 3.0,TRUE
Notebooks,CPU multiplier (bus/core ratio).6092,CPU multiplier (bus/core ratio),"18.0', '15.0'",,15,18,"The CPU multiplier (bus/core ratio) is the ratio of the front side bus speed to the speed of each CPU core. This affects the performance of the notebook. The bus/core ratio is typically between 1 and 471. For example, a bus/core ratio of 25.0 means that the front side bus speed is 25 times faster than the speed of each CPU core.",TRUE
Notebooks,Data network.7367,Data network,,,,,"The data network column contains information about the type of data network that the notebook product uses. The possible values for this column are: Not supported, 3G, 4G, EDGE, and 3.5G.",TRUE
Notebooks,Cabling technology.747,Cabling technology,,,,,"The type of cable technology used in the notebook. This includes the type of cable, the speed of the cable, and the standard of the cable. Examples of cable types include 10/100/1000Base-T(X), 10/100Base-T(X), and Thunderbolt 4.",TRUE
Notebooks,4G WiMAX.8220,4G WiMAX,,,,,"Indicates whether the notebook has 4G WiMAX connectivity. If 4G WiMAX is supported, the value will be True. If 4G WiMAX is not supported, the value will be False.",TRUE
Notebooks,Dual-screen.38963,Dual-screen,False',,,,Whether the notebook has a secondary screen for displaying additional content. This can be useful for multitasking or providing a more immersive experience.,TRUE
Notebooks,On/off button.33228,On/off button,False',,,,"Indicates whether the notebook has an on/off button or not. ""True"" indicates the presence of the button, while ""False"" indicates the absence of the button.",TRUE
Notebooks,Speakers manufacturer.2788,Speakers manufacturer,"OmniSonic', 'AKG'",,,,A brand or manufacturer of speakers for the notebook,TRUE
Notebooks,Mini DisplayPort/Thunderbolt combo port.11528,Mini DisplayPort/Thunderbolt combo port,False',,,,"A Mini DisplayPort/Thunderbolt combo port is a type of video interface for connecting a computer to a display or other peripheral device. The port is typically found on laptops and personal computers, and is used to provide a high-quality display output. The port is also capable of providing power to peripheral devices, such as external hard drives or monitors.",TRUE
Notebooks,Built-in speaker(s).2433,Built-in speaker(s),,,,,"Indicates whether the notebook has built-in speakers. If the notebook has built-in speakers, this value will be True. If the notebook does not have built-in speakers, this value will be False.",TRUE
Notebooks,Alienware graphics amplifier port.28072,Alienware graphics amplifier port,,,,,Boolean value indicating the presence of an Alienware graphics amplifier port on the laptop. This can be 'True' or 'False'.,TRUE
Notebooks,Number of processors supported.7921,Number of processors supported,,,,,"The number of processors that the notebook can use, represented as a string.",TRUE
Notebooks,Number of discrete graphics adapters.9584,Number of discrete graphics adapters,,,,,"The number of discrete graphics adapters that come with the notebook. Examples include: '1.0', '2.0'",TRUE
Notebooks,Total HDDs capacity.37917,Total HDDs capacity,,,,,The total hard disk drive capacity of the notebook. This is the combined capacity of all the hard disk drives in the notebook. The capacity is measured in gigabytes (GB).,TRUE
Notebooks,Thunderbolt technology.13551,Thunderbolt technology,False',,,,A boolean value that describes if the notebook has thunderbolt technology or not. Thunderbolt is a hardware interface that allows the user to connect to a display and other peripherals with a single port with fast data transfer rates.,TRUE
Notebooks,On-board graphics adapter 4K support.21341,On-board graphics adapter 4K support,False',,,,A boolean value which describes if the graphics adapter on the laptop supports 4K resolution.,TRUE
Notebooks,Intel® Thunderbolt 4.42405,Intel Thunderbolt 4,False',,,,A boolean value that describes if the notebook has Intel Thunderbolt 4,TRUE
Notebooks,Thunderbolt ports quantity.7804,Thunderbolt ports quantity,,,,,The number of Thunderbolt ports on the notebook. Values are whole numbers ranging from 1.0 to 11.0,TRUE
Notebooks,Number of discrete graphics adapters supported.16399,Number of discrete graphics adapters supported,1.0',,1,1,The number of discrete graphics adapters that are supported by the laptop. It can range from 1.0 to 11.0,TRUE
Notebooks,UART.17906,UART,False',,,,"A UART is a serial port that is typically used for communicating with a modem, Bluetooth, or other serial devices. It is often used for debugging and troubleshooting purposes and can be found on most notebooks.",TRUE
Notebooks,Intel ME Firmware Version.17908,Intel ME Firmware Version,,,,,"Intel ME Firmware Version refers to the version of the Intel ME Firmware that is installed on the notebook. The Intel ME Firmware is a small piece of software that runs on the Intel ME hardware and provides the ability to remotely manage and control the hardware. This allows the manufacturer to update the hardware without having to physically access the notebook. The Intel ME Firmware Version is typically displayed as a string of numbers and letters, such as ""11"" or ""9.5"". It is not a required field, and there may be no Intel ME Firmware Version listed for a particular notebook.",TRUE
Notebooks,Intel Smart Connect Technology version.21773,Intel Smart Connect Technology version,0.0',,0,0,The Intel Smart Connect Technology version of the notebook. Version is a number and is either 0.0 or 1.0.,TRUE
Notebooks,Total number of SATA connectors.23019,Total number of SATA connectors,2.0',,2,2,The total number of SATA connectors that come with the notebook. This includes any connectors on the motherboard and any additional cards that are installed in the notebook. The minimum value is 1.0 and the maximum value is 4.0,TRUE
Notebooks,Number of SATA III connectors.7826,Number of SATA III connectors,2.0',,2,2,"The number of SATA III connectors that the notebook has. Values are whole numbers, and the minimum is 1.0, while the maximum is 4.0.",TRUE
Notebooks,Display response rise/fall.946,Display response rise/fall,,,,,"The Display response rise/fall column contains the measurement of the time it takes for the display to respond to changes. The unit of measurement is milliseconds (ms). For example, a value of 8.0 means that it takes 8 ms for the display to respond to changes.",TRUE
Notebooks,Pre-installed software.2253,Pre-installed software,"Microsoft 365', 'Link Sharing, Live Message, Live Wallpaper, McAfee Live Safe (60 Tage kostenlos), Samsung Gallerie Quick Search Samsung DeX Samsung Flow Samsung Notes Samsung Recovery Samsung Einstellungen Studio Plus Samsung Update teamPL', 'Link Sharing, Live Message, Live Wallpaper, McAfee Live Safe (60 days free), Samsung Gallery, Quick Search, Samsung DeX, Samsung Flow, Samsung Notes, Samsung Recovery, Samsung Settings, Studio Plus, Samsung Update, teamPL'",,,,"The software that is pre-installed on the computer. This can include office productivity software, internet browser, multimedia software, and any other software that may come with the computer and enables the user to perform tasks without needing to install additional software.",TRUE
Notebooks,NVIDIA G-SYNC.20783,NVIDIA G-SYNC,,,,,"A boolean value indicating whether the notebook uses NVIDIA G-SYNC technology or not. This column is true if the notebook uses NVIDIA G-SYNC, and false if it does not.",TRUE
Notebooks,NVIDIA GameWorks VR.20784,NVIDIA GameWorks VR,,,,,Whether the notebook supports NVIDIA GameWorks VR technology or not. GameWorks is a suite of tools and algorithms used by developers when creating virtual reality games to provide a more immersive experience for the user.,TRUE
Notebooks,CUDA cores.7991,CUDA cores,,,,,"The CUDA cores column indicates the number of CUDA cores in the GPU of the notebook. This is important as it indicates the performance and capabilities of the GPU, which is crucial for tasks such as graphics rendering and machine learning.",TRUE
Notebooks,Miracast.13463,Miracast,False',,,,A boolean value that describes whether the laptop can wirelessly project the screen to other devices,TRUE
Notebooks,ECC.1628,ECC,,,,,ECC stands for Error Correcting Code. It is a data integrity feature used to detect and correct errors in the data storage to ensure reliability and data integrity of the notebook.,TRUE
Notebooks,MIMO.27802,MIMO,False',,,,"MIMO is an acronym for Multiple Input, Multiple Output and this column indicates whether the notebook has this feature or not. This is a boolean value and can be 'True' or 'False'.",TRUE
Notebooks,MIMO type.34291,MIMO type,,,,,Indicates whether the notebook product has been enhanced with Multiple-User (multiple people can use the notebook at the same time) or Single-User (only one person can use the notebook at a time) MIMO.,TRUE
Notebooks,HP Audio Boost.34583,HP Audio Boost,,,,,Whether the device has Audio Boost technology,TRUE
Notebooks,HP Smart AC Adapter.34596,HP Smart AC Adapter,,,,,"Indicates whether the notebook has an HP Smart AC Adapter. HP Smart AC Adapters are designed to protect against surges and spikes, and to provide a safe and reliable connection between the notebook and the power source. The AC Adapter is a 65W AC adapter that is compatible with select HP business notebooks.",TRUE
Notebooks,HP Imagepad.34599,HP Imagepad,,,,,Boolean value that indicates whether the notebook has an imagepad or not. Imagepads are pointing devices that are typically found on some types of laptops. They are usually located between the keyboard and the screen and allow the user to use the pad to move the mouse cursor on the screen.,TRUE
Notebooks,HP front camera.34606,HP front camera,,,,,"The HP front camera is an integrated webcam in the HP notebook. The camera is located above the screen and can be used for video chatting, taking pictures, and recording videos. The camera has a resolution of 720p and a frame rate of 30 frames per second. The camera also has a built-in microphone and a LED light that indicates when the camera is active.",TRUE
Notebooks,Fast charging time (50%).34609,Fast charging time (50%),,,,,"The time, in minutes, to charge a notebook battery to 50% of its capacity.",TRUE
Notebooks,HP speaker type.34612,HP speaker type,,,,,"The type of HP speakers that are installed in the notebook. The value is a string that can be one of 'Dual Speakers', 'Quad Speakers', or 'N/A'.",TRUE
Notebooks,HP segment.35183,HP segment,,,,,"The HP segment refers to the intended usage of the notebook. It could be either ""Home"" or ""Business"".",TRUE
Notebooks,Package depth.3806,Package depth,"56.9', '55.0', '49.0', '260.09', '49.02'",mm,49,499,"Depth of the notebook package, measured in millimeters. The minimum depth is 1.0 mm, and the maximum depth is 624.0 mm.",TRUE
Notebooks,Package height.3807,Package height,"357.89', '395.0', '357.9', '41.91', '309.63'",mm,40.89,395,"Height of the package for the notebook, measured in millimeters. Package height should not be confused with the height of the screen or the notebook itself, which would be measured from the ground to the top of the screen when the notebook is open and being used.",TRUE
Notebooks,Package width.3808,Package width,"265.94', '291.0', '265.9', '445.0', '235.46'",mm,230,489.96,The width of the notebook's package in millimeters. Packages with a width of 11 mm or more are acceptable. Packages with a width of 830 mm or less are acceptable.,TRUE
Notebooks,Discrete GPU manufacturer.41670,Discrete GPU manufacturer,"NVIDIA', 'Intel'",,,,The manufacturer of the discrete graphics processing unit (GPU) in the notebook.,TRUE
Notebooks,Display diagonal (metric).4174,Display diagonal (metric),"34.3', '38.1', '39.6', '33.8', '35.56'",cm,33.8,39.6,The Display diagonal (metric) column contains the measurement in centimeters of the notebook's display diagonal.,TRUE
Notebooks,Package weight.762,Package weight,"1901.0', '2600.0', '1905.0', '1791.68', '2000.0'",g,1245,2830,The weight of the notebook's package in grams. Packages of notebooks weigh between 1.0 g and 17000.0 g.,TRUE
Notebooks,Accelerometer.9731,Accelerometer,False',,,,"Denotes whether the notebook has an accelerometer or not. Accelerometers are used to protect data in the event of accidental drops and can also be used as a means of user input, enabling a user to change the orientation of the screen by moving the device.",TRUE
Notebooks,Scenario Design Power (SDP).17883,Scenario Design Power (SDP),"4.0', '4.8'",W,4,4.8,The power that the scenario design of the laptop is. This is given in watts (W).,TRUE
Notebooks,On-board graphics adapter burst frequency.19130,On-board graphics adapter burst frequency,"650.0', '750.0'",MHz,650,750,The on-board graphics adapter burst frequency refers to the maximum speed at which the graphics processor can access its memory for processing. This is important for tasks such as rendering 3D graphics or playing high-resolution video. The frequency is measured in megahertz (MHz) and is typically between 1 and 1150 MHz. It is also known as the GPU clock speed or the GPU frequency.,TRUE
Notebooks,Flash memory.6791,Flash memory,"8.0', '64.0'",GB,8,64,The size of the flash memory of the laptop. Minimum of 1.0 GB and a maximum of 2280.0 GB are available.,TRUE
Notebooks,2G standards.16924,2G standards,,,,,The 2G standards that are supported by the notebook.,TRUE
Notebooks,Near Field Communication (NFC).10157,Near Field Communication (NFC),False',,,,"Indicates whether the laptop has near field communication or not. This is a boolean value where ""True"" indicates that the laptop has near field communication and ""False"" indicates that it does not.",TRUE
Notebooks,Smart card reader.27490,Smart card reader,False',,,,Indicates whether the notebook has a smart card reader.,TRUE
Notebooks,Windows Hello.35978,Windows Hello,False',,,,Boolean value indicating whether the device has Windows Hello functionality or not. This can be 'True' or 'False'.,TRUE
Notebooks,MIL-STD-810G compliant.42781,MIL-STD-810G compliant,,,,,"Determines whether the information in the column is 'True' or 'False', indicating whether the product is MIL-STD-810G compliant.",TRUE
Notebooks,Headphone connectivity.4163,Headphone connectivity,,,,,The type of headphone connectivity present in the laptop. This can be in the form of an analog jack or a USB port.,TRUE
Notebooks,Thunderbolt 3 ports quantity.22730,Thunderbolt 3 ports quantity,"2.0', '1.0'",,1,2,The number of Thunderbolt 3 ports supported by the laptop.,TRUE
Notebooks,Continuous video playback time.2173,Continuous video playback time,,,,,"The continuous video playback time of the notebook, measured in hours. This value represents the longest continuous video playback time for the specific notebook without requiring any additional external power source and may vary based on configurations and battery health.",TRUE
Notebooks,HP JumpStart.34582,HP JumpStart,,,,,"Boolean value that indicates whether the notebook has the HP JumpStart feature or not. If the value is 'True', the notebook has the HP JumpStart feature. If the value is 'False', the notebook does not have the HP JumpStart feature.",TRUE
Notebooks,HP Audio Switch.34584,HP Audio Switch,,,,,Denotes whether the audio switch on the device is enabled or disabled. Audio switches are typically used to turn off the audio on a device when it is not in use to save power or to avoid audio feedback.,TRUE
Notebooks,HP CoolSense.34585,HP CoolSense,,,,,Whether the notebook has the HP CoolSense technology or not. This technology dynamically adjusts the temperature of the notebook to keep it cool and quiet.,TRUE
Notebooks,HP Orbit.34589,HP Orbit,,,,,"The HP Orbit is a feature on some HP notebooks that allows users to control their computer with a pen, making it easier to draw, take notes, and interact with the screen. The HP Orbit is not available on all HP notebooks.",TRUE
Notebooks,Fast charging time (90%).34610,Fast charging time (90%),60.0',min,60,60,"The time, in minutes, to charge the notebook to 90% of full battery capacity.",TRUE
Notebooks,HP Sure Connect.34634,HP Sure Connect,,,,,Whether or not the notebook has the HP Sure Connect feature. This is a feature that allows the user to connect to the internet using a mobile broadband signal. The value in this column will be either True or False.,TRUE
Notebooks,USB4 Gen 3x2 ports quantity.42559,USB4 Gen 3x2 ports quantity,1.0',,1,1,The number of USB4 Gen 3x2 ports on the notebook.,TRUE
Notebooks,Images Type Map.28268,Images Type Map,,,,,"The column contains a mapping of image type to the source URL and title of the image. The mapping is represented as a string where each character in the string represents a different image type. The source URL and title of the image are separated by a pipe character (|) and are separated from the image type by a space character. For example, the string 'a|https://ark.intel.com/inc/images/diagrams/diagram-1.gif|Block Diagram' would represent an image type of 'a' with the source URL 'https://ark.intel.com/inc/images/diagrams/diagram-1.gif' and the title 'Block Diagram'.",TRUE
Notebooks,Refurbished.29170,Refurbished,False',,,,"Refurbished is a boolean flag that indicates whether the notebook has been refurbished. If the value is True, the notebook has been refurbished. If the value is False, the notebook has not been refurbished.",TRUE
Notebooks,Power auto-sensing.9661,Power auto-sensing,,,,,"Indicates whether the notebook computer automatically senses the power status. If 'True', the computer will go into sleep mode when the lid is closed. If 'False', the computer will not go into sleep mode when the lid is closed.",TRUE
Notebooks,Hybrid-HDD cache type.11442,Hybrid-HDD cache type,SSD',,,,"The Hybrid-HDD cache type refers to the type of hard drive that is used in a hybrid hard drive. A hybrid hard drive is a hard drive that combines a traditional hard drive with a solid-state drive (SSD). The SSD is used as a cache, which stores frequently used data, allowing the computer to access it more quickly. The cache type can be either SSD or Flash.",TRUE
Notebooks,Hybrid-HDD capacity.11443,Hybrid-HDD capacity,500.0',GB,500,500,"The Hybrid-HDD capacity of the notebook, in GB. Can be anywhere from 1.0 to 2000.0 GB, rounded to the nearest whole number.",TRUE
Notebooks,Hybrid-HDD cache memory.11444,Hybrid-HDD cache memory,,,,,"Cache memory of the Hybrid-HDD that is measured in Gigabytes (GB). Typically, the bigger the number, the better the performance of the computer.",TRUE
Notebooks,Power adapter height.13992,Power adapter height,,,,,"The height of the power adapter for the notebook, measured in millimeters. This value must be a positive integer.', 'min': 1.0, 'max': 366.",TRUE
Notebooks,Power adapter depth.13995,Power adapter depth,,,,,The power adapter depth column contains the depth of the power adapter for the notebook. The depth is given in millimeters and varies in this dataset from 1.0 mm to 330.0 mm. It is measured to the nearest whole number.,TRUE
Notebooks,Power adapter width.13996,Power adapter width,,,,,"The width of the power adapter for the notebook, measured in millimeters. This measurement can be used to compare the size of the power adapter and determine which one will fit best in a given space.",TRUE
Notebooks,Microphone connectivity.4170,Microphone connectivity,,,,,Does the notebook have a microphone connectivity? Microphone connectivity refers to the type of port or connection used to connect a microphone to the computer. This may include 3.5 mm jacks or other types of connections.,TRUE
Notebooks,eSATA/USB 2.0 ports quantity.6821,eSATA/USB 2.0 ports quantity,,,,,The number of eSATA/USB 2.0 ports that the laptop has,TRUE
Notebooks,Layers per pallet.1680,Layers per pallet,,,,,Number of layers of notebooks that can be fit into a single pallet,TRUE
Notebooks,Pallet gross weight.19033,Pallet gross weight,,,,,"The weight, measured in grams, of the pallet supporting the notebook.",TRUE
Notebooks,Thunderbolt™ 3 Technology.21530,Thunderbolt 3 Technology,,,,,A boolean value that describes if the notebook has thunderbolt 3 technology,TRUE
Notebooks,Package material.21602,Package material,,,,,Material that is used to package the notebook product when it is shipped.,TRUE
Notebooks,Pallet gross width.22041,Pallet gross width,,,,,"Width of the pallet, in millimeters, that is used to transport the notebook for storage or distribution.', 'min': 1.0, 'max': 1200.",TRUE
Notebooks,Pallet gross length.22042,Pallet gross length,,,,,The length of the pallet once the product is assembled and packaged for shipping.,TRUE
Notebooks,Products per intermodal container (20ft).23257,Products per intermodal container (20ft),,,,,The number of products that can fit in a 20ft intermodal container. Min: 1.0 pc(s). Max: 2380.0 pc(s).,TRUE
Notebooks,Products per intermodal container (40ft).23258,Products per intermodal container (40ft),,,,,The number of products that can fit in a 40ft intermodal container. This is a measure of the container's capacity.,TRUE
Notebooks,Products per pallet layer.23729,Products per pallet layer,,,,,The number of products that can fit onto one layer of a pallet.,TRUE
Notebooks,Pallet volume weight.34653,Pallet volume weight,,,,,"The weight of the notebook's pallet in grams. Note that the pallet is a wooden structure used to transport the notebook, and is not part of the notebook itself.",TRUE
Notebooks,Display bezel technology.34718,Display bezel technology,,,,,"The type of display bezel technology used in the notebook. This can include edge-to-edge displays, thin bezels, and other display features that improve the visual experience when using the notebook.",TRUE
Notebooks,Low-density polyethylene (LDPE) content per package.35311,Low-density polyethylene (LDPE) content per package,,,,,"Low-density polyethylene (LDPE) content per package refers to the amount of LDPE in grams that is contained in each package of the product. The minimum amount of LDPE that can be present in a package is 1.0 g, while the maximum amount is 52.0 g.",TRUE
Notebooks,Corrugated cardboard content per box for accessories.35314,Corrugated cardboard content per box for accessories,,,,,The corrugated cardboard content per box for accessories of a notebook. The cardboard content is the weight of the cardboard in grams that is used to package the notebook's accessories. Min: 1.0 g. Max: 437.0 g.,TRUE
Notebooks,Corrugated cardboard content per shipping (inner) case.35315,Corrugated cardboard content per shipping (inner) case,,,,,"The corrugated cardboard content per shipping (inner) case is the amount of corrugated cardboard in grams that is used to package the notebook product per shipping case. The corrugated cardboard helps to protect the notebook during shipping and handling, and also provides support and structure to the shipping case. The minimum amount of corrugated cardboard that can be used is 0.4 g, and the maximum is 1587 g. The example values are 415.0, 400.0, 380.0, 375.0, and 697.0 g.",TRUE
Notebooks,Corrugated cardboard content per package.35316,Corrugated cardboard content per package,,,,,"The weight, in grams, of the corrugated cardboard packaging for the notebook. This can be an important factor to consider when shipping the notebook, as it affects the shipping cost and the environmental impact of the packaging.",TRUE
Notebooks,Grey board content per package.35317,Grey board content per package,,,,,Amount of grey board in each package. The grey board is a thin sheet of paperboard that is used to wrap the product during shipping. The values in this column are in grams (g).,TRUE
Notebooks,EPEAT rating.35321,EPEAT rating,,,,,"EPEAT rating of the notebook, given as a percentage between 1 and 100.",TRUE
Notebooks,Package volume weight.39729,Package volume weight,,,,,"The weight, in kg, of the package for the product.",TRUE
Notebooks,Products per pallet.732,Products per pallet,,,,,The number of products of a given type that can fit on a pallet,TRUE
Notebooks,Face recognition.10935,Face recognition,False',,,,"Face recognition is a method of identifying or verifying the identity of an individual using their face. It is a biometric technology that can be used to authenticate a person's identity for various purposes, such as access control, surveillance, and security.",TRUE
Notebooks,Rear camera.12433,Rear camera,,,,,"True if notebook has a rear camera, false otherwise.",TRUE
Notebooks,Display glass type.34273,Display glass type,,,,,"The type of display glass used in the notebook. Options include: Gorilla Glass, Edge to Edge Glass, Corning Glass, Dragontrail Glass, and Dragontrail.",TRUE
Notebooks,Gyroscope.9732,Gyroscope,False',,,,A built-in sensor that tracks the orientation and rotation of a notebook. It can be found in some smartphones and virtual reality headsets and typically contains a rotating mass.,TRUE
Notebooks,Virtual Reality (VR) ready.25791,Virtual Reality (VR) ready,False',,,,"True if the notebook is capable of running virtual reality (VR) software, or has a VR-ready graphics card. False if it does not.",TRUE
Notebooks,Start-up time.9659,Start-up time,,,,,"The time, measured in seconds, to wait before the notebook can be used.",TRUE
Notebooks,Maximum shipping altitude.7849,Maximum shipping altitude,3048.0',m,3048,3048,"The maximum altitude that the notebook can be shipped to, given in meters (m).",TRUE
Notebooks,PowerShare.34722,PowerShare,,,,,"A string that indicates whether or not the notebook has a power-sharing feature. If the notebook has a power-sharing feature, the value will be 'True'. If the notebook does not have a power-sharing feature, the value will be 'False'.",TRUE
Notebooks,Number of USB ports with PowerShare support.34723,Number of USB ports with PowerShare support,,,,,The exact number of USB ports that are built into the notebook and support PowerShare.,TRUE
Notebooks,Intel® vPro™ Platform Eligibility.38578,Intel vPro Platform Eligibility,,,,,"Boolean value that indicates whether the notebook is eligible for the Intel vPro platform. If the notebook is eligible, the value will be True. If not, the value will be False.",TRUE
Notebooks,Line-in.1344,Line-in,False',,,,The Line-in column indicates whether the notebook has a line-in port. A line-in port allows you to connect audio devices such as headphones or speakers to the notebook.,TRUE
Notebooks,Intel Smart Idle Technology.18705,Intel Smart Idle Technology,False',,,,"Intel Smart Idle Technology is a technology that is built into some Intel processors that can help reduce power consumption when the processor is idle. The technology works by dynamically adjusting the voltage and frequency of the processor when it is not being used to their minimum required levels, which can result in significant power savings. This can be especially useful for extending the battery life of laptops and other mobile devices.",TRUE
Notebooks,Intel Secure Boot.21339,Intel Secure Boot,False',,,,"A boolean value that indicates whether the notebook has Intel Secure Boot enabled or not. Intel Secure Boot is an integrated security solution that helps prevent malicious software from running on the system. If Intel Secure Boot is enabled, the system will only boot using software that is trusted by the manufacturer.",TRUE
Notebooks,Intel Secure Boot Technology version.21712,Intel Secure Boot Technology version,1.0',,1,1,"Intel Secure Boot Technology is a security technology that is integrated into the boot process of a device. It ensures that the device boots using only software that is trusted by the manufacturer. The technology prevents the device from booting if the software has been tampered with or is not trusted. Intel Secure Boot Technology is typically used in devices such as laptops, tablets, and smartphones.",TRUE
Notebooks,Processor front side bus.1020,Processor front side bus,,,,,"The processor front side bus is the communication system between the processor and the rest of the system. It is the width of the front side bus that is measured in MHz. For example, a front side bus of 533.0 MHz is wider than a front side bus of 266.0 MHz.",TRUE
Notebooks,Number of Processing Die Transistors.10279,Number of Processing Die Transistors,,,,,The Number of Processing Die Transistors column contains the number of processing die transistors on the notebook. This information is typically found on the specifications page of the notebook. The format of this column is a floating point number.,TRUE
Notebooks,Processing Die size.10284,Processing Die size,,,,,The Processing Die size is the size of the die that is used to process the notebook. The size is measured in square millimeters (mm¬≤).,TRUE
Notebooks,Wireless technology.1048,Wireless technology,,,,,"The type of wireless technology used by the notebook. Examples include Wi-Fi, 802.11b/g/n, and IEEE 802.11b/g/n.",TRUE
Notebooks,Display.83,Display,,,,,"The display device of the notebook, may be LCD, TFT, or LED.",TRUE
Notebooks,Original brand name.39138,Original brand name,"Microsoft', 'Samsung'",,,,Brand name of the notebook when it was first manufactured.,TRUE
Notebooks,Model year.41030,Model year,2021.0',,2021,2021,The year when the model of the notebook was released or announced,TRUE
Notebooks,NVIDIA 3D Vision.7203,NVIDIA 3D Vision,,,,,"NVIDIA 3D Vision is a technology developed by NVIDIA for 3D gaming on laptops. It is a combination of hardware and software that allows users to play games in 3D on their laptops. The technology works by displaying two images simultaneously on the screen, one for each eye, to create the illusion of depth. The user wears a pair of special glasses that filter the images to each eye, creating a 3D effect. NVIDIA 3D Vision is compatible with a wide range of games and laptops, and is a popular choice for gamers who want to play in 3D.",TRUE
Notebooks,Shipping (inner) case GTIN (EAN/UPC).23048,Shipping (inner) case GTIN (EAN/UPC),UN3481',,,,"The unique identifier for the shipping case, which is the inner packaging for the notebook. This GTIN is a unique number used to identify products. The GTIN is sometimes also known as an EAN or a UPC.",TRUE
Notebooks,Harmonized System (HS) code.23731,Harmonized System (HS) code,8471300100.0',,8471300100,8471300100,"The Harmonized System (HS) code is an internationally-recognized product identifier that is used to classify products. The code is six digits long and is used to identify the product's category, such as electronics or clothing. The code is often used by customs agencies to monitor and control the import and export of products.",TRUE
Notebooks,HDCP.5636,HDCP,False',,,,The HDCP (High-bandwidth Digital Content Protection) is a standard for protecting the transmission of digital entertainment content across DVI/HDMI interfaces. This column indicates whether the notebook supports HDCP or not. The value is either true or false.,TRUE
Notebooks,Optional operating system supplied.6219,Optional operating system supplied,,,,,"Name of the operating system that is optional for the notebook. If the notebook is pre-installed with an operating system, then the name of the operating system is listed. If no operating system is installed, then the cell will be empty.",TRUE
Notebooks,sRGB coverage (typical).28703,sRGB coverage (typical),,,,,"Percentage of the sRGB color space that is covered by the display. This is the typical value, which means that the display is capable of covering a larger portion of the sRGB color space in some situations.",TRUE
Notebooks,Temperature sensor.17968,Temperature sensor,,,,,"Indicates whether the notebook has a temperature sensor. If the notebook has a temperature sensor, the value will be True. If the notebook does not have a temperature sensor, the value will be False.",TRUE
Notebooks,HP Audio Boost generation.34611,HP Audio Boost generation,,,,,The generation of the HP Audio Boost. This column contains the generation of the audio boost that is in the HP notebook. Gen 1 and Gen 2 are examples of the possible audio boost generations.,TRUE
